card_id,title,type,year_file,hero_url,hero_exists,hero_size,hero_is_ai,legacy_image_url,legacy_image_exists,gallery_count,gallery_missing,gallery_urls,has_related_content
person_1919_01,손병희 — 3·1운동 민족대표의 영수,person,1919.js,assets/images/entity/person/person_손병희_01.webp,True,217362,false,,,0,0,,False
person_1919_02,김구 — 임시정부에 투신하다,person,1919.js,assets/images/entity/person/person_김구_01.webp,True,89680,true,,,0,0,,False
person_1919_03,이승만 — 외교독립론과 초대 임시대통령,person,1919.js,assets/images/entity/person/person_이승만_01.webp,True,14592,false,,,0,0,,False
person_1919_06,오동진 — 서간도 망명과 무장투쟁의 시작,person,1919.js,assets/images/entity/person/person_오동진_01.webp,True,74368,true,,,0,0,,False
battle_1920_01,봉오동 전투,battle,1920.js,assets/images/entity/event/event_battle_1920_01_01.webp,True,42096,false,,,0,0,,False
battle_1920_02,청산리 대첩,battle,1920.js,assets/images/entity/event/event_battle_1920_02_01.webp,True,22500,false,,,1,0,assets/images/entity/person/person_이범석_01.webp,False
righteous_1920_01,부산경찰서 투탄 (박재혁),righteous,1920.js,assets/images/entity/person/person_박재혁_01.webp,True,112586,true,,,0,0,,False
battle_1920_03,신흥무관학교,battle,1920.js,assets/images/entity/person/person_이시영_01.webp,True,163634,true,,,1,0,assets/images/entity/person/person_신팔균_01.webp,False
righteous_1920_02,밀양경찰서 투탄 (최수봉),righteous,1920.js,assets/images/entity/event/event_righteous_1920_02_01.webp,True,130984,true,,,1,0,assets/images/entity/person/person_최수봉_01.webp,False
righteous_1920_03,강우규 순국,righteous,1920.js,assets/images/entity/event/event_righteous_1920_03_01.webp,True,141150,true,,,1,0,assets/images/entity/person/person_강우규_01.webp,False
righteous_1920_04,유관순 순국,righteous,1920.js,assets/images/entity/event/event_righteous_1920_04_01.webp,True,361600,false,,,1,0,assets/images/entity/person/person_유관순_01.webp,False
person_1920_01,김구 — 임시정부 경무국장,person,1920.js,assets/images/entity/person/person_김구_01.webp,True,89680,true,,,0,0,,False
person_1920_02,김원봉 — 의열단 결성·지휘,person,1920.js,assets/images/entity/person/person_김원봉_01.webp,True,116054,true,,,0,0,,False
person_1920_03,안창호 — 임정 내무총장·흥사단,person,1920.js,assets/images/entity/person/person_안창호_01.webp,True,125422,true,,,0,0,,False
person_1920_04,신채호 — 보합단 조직,person,1920.js,assets/images/entity/person/person_신채호_01.webp,True,21166,false,,,0,0,,False
person_1920_05,이회영 — 베이징 망명 활동,person,1920.js,assets/images/entity/person/person_이회영_01.webp,True,111790,true,,,0,0,,False
person_1920_06,윤봉길 — 농촌계몽운동,person,1920.js,assets/images/entity/person/person_윤봉길_01.webp,True,95010,true,,,0,0,,False
person_1920_07,이봉창 — 오사카에서 노동,person,1920.js,assets/images/entity/person/person_이봉창_01.webp,True,50388,true,,,0,0,,False
person_1920_08,양세봉 — 남만주 무장투쟁 시작,person,1920.js,assets/images/entity/person/person_양세봉_01.webp,True,82798,true,,,0,0,,False
migration_1921_01,대한독립군단 자유시 이동,migration,1921.js,assets/images/entity/event/event_migration_1921_01_01.webp,True,239814,true,,,0,0,,False
person_1921_01,서일 순국 (자유시 참변 충격),person,1921.js,assets/images/entity/person/person_서일_01.webp,True,106630,true,,,0,0,,False
political_1921_01,임정 내분 — 이동휘 사임,political,1921.js,assets/images/entity/event/event_political_1921_01_01.webp,True,494056,false,,,0,0,,False
righteous_1921_02,박상진 순국,righteous,1921.js,assets/images/entity/event/event_righteous_1921_02_01.webp,True,26766,false,,,0,0,,False
righteous_1921_03,김익상 — 조선총독부 투탄,righteous,1921.js,assets/images/entity/event/event_righteous_1921_03_01.webp,True,41604,false,,,0,0,,False
person_1921_02,김구 — 임정 수습,person,1921.js,assets/images/entity/person/person_김구_01.webp,True,89680,true,,,0,0,,False
person_1921_03,신채호 — 군사통일주비회 주도,person,1921.js,assets/images/entity/person/person_신채호_01.webp,True,21166,false,,,0,0,,False
person_1921_04,홍범도 — 이르쿠츠크 고려혁명군관학교,person,1921.js,assets/images/entity/person/person_홍범도_01.webp,True,89924,true,,,0,0,,False
political_1921_05,임정 개조·창조 논쟁의 시작,political,1921.js,assets/images/entity/event/event_political_1921_05_01.webp,True,494056,false,,,0,0,,False
person_1921_05,여운형 — 고려공산당과 모스크바,person,1921.js,assets/images/entity/person/person_여운형_01.webp,True,181998,true,,,0,0,,False
battle_1922_01,대한통의부 결성,organization,1922.js,assets/images/entity/person/person_김동삼_01.webp,True,86864,true,,,0,0,,False
righteous_1922_01,황포탄 의거 (김익상·오성륜·이종암),righteous,1922.js,assets/images/entity/event/event_righteous_1922_01_01.webp,True,41604,false,,,0,0,,False
political_1922_01,극동민족대회 — 모스크바,political,1922.js,assets/images/entity/event/event_political_1922_01_01.webp,True,30814,false,,,0,0,,False
person_1922_01,홍범도 — 연해주 이만에서,person,1922.js,assets/images/entity/person/person_홍범도_01.webp,True,89924,true,,,0,0,,False
person_1922_02,김원봉 — 의열단 본부 베이징,person,1922.js,assets/images/entity/person/person_김원봉_01.webp,True,116054,true,,,0,0,,False
